created_at,text,screen_name,profile_image
Tue Feb 16 01:14:57 +0000 2021,"@VP @KamalaHarris For women to work, schools need to be open FT. I'm a progressive parent who believes Biden's reopening plan is beholden to teachers' unions and will keep schools closed and women shouldering the burden far longer than necessary. We need schools open full time--not lip service.",emmelinewrites,https://pbs.twimg.com/profile_images/970757973009104896/JUpQH_Pm_normal.jpg
Tue Feb 16 01:14:56 +0000 2021,"Madam Harris, did America has the law of letting the President or Vice President to allowing confiscated the money and properties from the civilians? Yes. Because you giving Trump and Pence a chance to do that. Why you don't spread out African American 21mil Pounds lost on them? https://t.co/FEFonbFjGc",CannesAnson77,https://pbs.twimg.com/profile_images/1302529000330334208/x1hzYeKK_normal.jpg
Tue Feb 16 01:14:56 +0000 2021,@TheDemCoalition @LaraLeaTrump Count me in for any volunteer work! I spent many hours on the phone for the Biden/Harris campaign and the Georgia runoff all from the comfort of my condo in Chicago.,AndreaFakeDiaz3,https://pbs.twimg.com/profile_images/1334382568469311489/_QyPwFsN_normal.jpg
Tue Feb 16 01:14:56 +0000 2021,@POTUS @JoeBiden Happy Presidents Day President Trump!,Kimcumby,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
Tue Feb 16 01:14:55 +0000 2021,"@joncoopertweets Biden $0
Trump $145,000,000 https://t.co/POBkZufVgh",BFR_DOUG,https://pbs.twimg.com/profile_images/1268953690544713732/aM5elu0B_normal.jpg
Tue Feb 16 01:14:55 +0000 2021,"Please charge Trump/Pence/Kushner for negligent homicide over Covid. Your state &amp; many must charge these mongrels. Almost 500,000 dead. https://t.co/najMkC9WT9",julielkaye,https://pbs.twimg.com/profile_images/1317533774767325185/2ZVhg-2Q_normal.jpg
Tue Feb 16 01:14:55 +0000 2021,"@ReesusP Every person injured or traumatized in the Capitol attack should band together and file a class action civil lawsuit against Trump, Giuliani and the organizers of the insurrection. https://t.co/KfhT6B1W4U",MWGADGETGIRL,https://pbs.twimg.com/profile_images/1344841212772102144/8brNh0oI_normal.jpg
Tue Feb 16 01:14:55 +0000 2021,Lets face it @LeaderMcConnell says he voted to acquit Trump because he’s no longer in office. Any #Kentuckian should know that is just #BooCrap if one of those #insurrectionist hit him in the head like they did @CapitolPolice would he have voted the same way.. I think NOT!,FollowJulianus,https://pbs.twimg.com/profile_images/1218280891568381952/SFjGHBgL_normal.jpg
Tue Feb 16 01:14:55 +0000 2021,@disclosetv Why does President Biden hate Mexicans?,JimmySmithstorm,https://pbs.twimg.com/profile_images/1241796658171719681/NtQJspCK_normal.jpg
Tue Feb 16 01:14:55 +0000 2021,"Can someone explain to me how Trump, who caused and insurrection, tried to overthrow the government and is the first President since 1932  to lose the White House, the Senate and the House is still getting his ass licked by the likes of Graham and McCarthy? I don’t get it.",ckende,https://pbs.twimg.com/profile_images/106455501/agnes2_normal.jpg
Tue Feb 16 01:14:55 +0000 2021,"""January 6th was a disgrace. American citizens attacked their own government. They bloodied our own police...They chanted about murdering the Vice President...Former President Trump’s actions preceding the riot were a disgraceful dereliction of duty.""

-- Senator Mitch McConnell https://t.co/eAFcpV55zI",John_Dearie,https://pbs.twimg.com/profile_images/378800000374989151/4593a08b8252762ffc7565f9c78d7812_normal.jpeg
Tue Feb 16 01:14:55 +0000 2021,@kylegriffin1 Trump is the Grand Wizard of White Supremacy &amp; Commander of White Militias groups in America Impeachmentt Managers evidences videos speeches and tweets prove it Republican Senators will be cowards if not Impeach Trump for insurrection will be complicit with Trump Insurrection! https://t.co/kSJw0CFlxI,Pedro_ChosenOne,https://pbs.twimg.com/profile_images/594916579642580992/QyLJ9WjT_normal.jpg
Tue Feb 16 01:14:54 +0000 2021,@weartv @Acosta @PefleyAlCBS12 600 puppets on a Donald Trump string😂😂😂😂😂😂😂,BrotherBuckeye,https://pbs.twimg.com/profile_images/1078335839724335104/Bj71tWvF_normal.jpg
Tue Feb 16 01:14:54 +0000 2021,@CNN A clever move! The difficulty for the commission is to determine Trump's accountability and identify &amp; deal with internal threats. Wished the commission will study possible foreign support as we saw several foreign flags at the Riot.,anhluat,https://pbs.twimg.com/profile_images/864497805364051968/bfCuNsF2_normal.jpg
Tue Feb 16 01:14:54 +0000 2021,Opinion | Now begins McConnell’s project to shrink Trump’s GOP influence https://t.co/W6ZkyluW5T,GaryDSchulz,https://pbs.twimg.com/profile_images/823283491345469442/BV9p5XZM_normal.jpg
Tue Feb 16 01:14:53 +0000 2021,@whatdefook @DanScavino Then you love President Biden.,MagaCopium,https://pbs.twimg.com/profile_images/1345203059664646144/66uoaEBA_normal.jpg
Tue Feb 16 01:14:53 +0000 2021,@Matthew_4_Trump This virus is so not worth all this hype!,pequop50,https://pbs.twimg.com/profile_images/969017858251345920/mExTTV1P_normal.jpg
Tue Feb 16 01:14:53 +0000 2021,Or maybe the irony of you thinking that you your immune to future prosecution after all you did? You're no Trump!,ProblemModern,https://pbs.twimg.com/profile_images/1249164358845902848/2Xegd2XQ_normal.jpg
Tue Feb 16 01:14:53 +0000 2021,"You’ll never see anything like this for Biden or Harris, This only happens with real human voters! https://t.co/tZrG0oDV5s",ShaneZettelmier,https://pbs.twimg.com/profile_images/378800000454017008/965c37d4182bebb89b4c7c3b0c1e15ae_normal.jpeg
Tue Feb 16 01:14:53 +0000 2021,"... firing fromTheNewYorker following hisZoom call masturbation scandal,as well as the ousting ofMSNBC contributorJon Meacham after it was revealed that he was moonlighting as a speechwriter for the Biden campaign. (Fox News). https://t.co/HXPfdzF73A",seanmacsean1,https://pbs.twimg.com/profile_images/1042900437333098496/sPO8L7M-_normal.jpg
Tue Feb 16 01:14:53 +0000 2021,@POTUS Happy Presidents Day President Trump,Tim73602035,https://pbs.twimg.com/profile_images/1214174534351278081/hHwjmBV3_normal.jpg
Tue Feb 16 01:14:52 +0000 2021,@MaryDivers77 @LAMetsfan @kenklippenstein To say nothing of the idiocy of writing “She’s always stumbling when she speaks” after four years of listening to Donald Trump try to string a sentence together.,Seattle_Dave,https://pbs.twimg.com/profile_images/2678847143/dd90f26d3b3bf1920747e692129652df_normal.jpeg
Tue Feb 16 01:14:52 +0000 2021,"Recall #MoscowMitch
Because of #MitchMcConnell and his good friend Trump - an insurrection, a dead Officer Sicknick and no accountability. 
@KyDems @KYDemocracy",MrJeffreyBarney,https://pbs.twimg.com/profile_images/542050525890371585/lKEV_fQO_normal.jpeg
Tue Feb 16 01:14:52 +0000 2021,"Trump Supporters were the reason why it looks like that way. Guess what, we didn't know that Americans would be the ones to have it look  that way in the 1st place! Gurl bye! https://t.co/HlVSxQMrDm https://t.co/51dC7Ud3Og",coats1234,https://pbs.twimg.com/profile_images/1330406476452532224/fS_lEX1j_normal.jpg
Tue Feb 16 01:14:52 +0000 2021,Hundreds of Trump supporters line streets welcoming him to post-presidency life at Mar-a-Lago https://t.co/N6Lr3NETM9,RobAlle41984027,https://pbs.twimg.com/profile_images/1348871754635239427/us2B9PMy_normal.jpg
Tue Feb 16 01:14:51 +0000 2021,"#RonDeSantis killing Florida, blaming Biden

https://t.co/NDxWqWnitf",mowokyboy,https://pbs.twimg.com/profile_images/509904642600603649/0dwT0ZFv_normal.jpeg
Tue Feb 16 01:14:50 +0000 2021,"@SanPhyuMoe1 @POTUS The SAD &amp; TRUE TRUTH IS...
BIDEN/HARRIS &amp; THE UNI-PARTY DO NOT CARE ABOUT YOU, OR ANY OF US❗WE, TO THEM, ARE BETTER OFF DEAD &amp; THE SOONER YOU REALIZE THAT, THE BETTER YOU WILL BE. MAY I SUGGEST YOU GO TO YOUTUBE &amp; LOOK UP ""SALTY CRACKER""= 100%TRUTH &amp; WHAT'S GOING ON✌❤🇺🇸",ColleenCreighto,https://pbs.twimg.com/profile_images/1322326716447117315/NaKzNDPz_normal.jpg
Tue Feb 16 01:14:50 +0000 2021,"@champandmajor1 Hewwo! My name is Summer, I'm a 12 yr old Yellow Lab &amp; a 'yellow dog democrat'.  My family loves ur Dad &amp; Mom, my Mom volunteered on the Biden 2020 Victory text team from CA. I was also a member of Yellow Labs For Barack. Sending paw love. https://t.co/qGKV2O04OJ",TheStepWifey,https://pbs.twimg.com/profile_images/1173277417638465538/4-tXLqsJ_normal.jpg
Tue Feb 16 01:14:50 +0000 2021,"McConnell, Denouncing Trump After Voting to Acquit, Says His Hands Were Tied https://t.co/fTFb8x99mi",ScotMackRI,https://pbs.twimg.com/profile_images/1858080033/me2_normal.JPG
Tue Feb 16 01:14:50 +0000 2021,@fake_biden None. Gotta have real stuff.,Angisjohnson,https://pbs.twimg.com/profile_images/1100960515533070336/Zp6Wpuc-_normal.jpg
Tue Feb 16 01:14:49 +0000 2021,@jaketapper Why does anyone think trump is the least bit religious??,oldeyezdoc,https://pbs.twimg.com/profile_images/445615616813056001/vGqKecr0_normal.jpeg
Tue Feb 16 01:14:49 +0000 2021,@DeebsFLA They also had Biden +15,JayWely,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
Tue Feb 16 01:14:48 +0000 2021,@Arriadna Someone should ask the Governor if he believes Biden is a legitimately elected President.,JayRouseDC,https://pbs.twimg.com/profile_images/1018181671290589186/7eoWyIla_normal.jpg
Tue Feb 16 01:14:48 +0000 2021,Is CNN and MSDNC running nightly panels to discuss Joe Biden's lies or was that just a Trump era thing?,AvengerClitoris,https://pbs.twimg.com/profile_images/1337979287643836422/3yc5nyk5_normal.jpg
Tue Feb 16 01:14:48 +0000 2021,HAPPY PRESIDENTS DAY TO PRESIDENT DONALD J TRUMP!,Cynthia94373524,https://pbs.twimg.com/profile_images/1267776223792545794/xVweM2tY_normal.jpg
Tue Feb 16 01:14:48 +0000 2021,"@thebsk1 @morgfair @HuffPostPol I don’t want to see any Trump run for an Office they’re not qualified for, which is any.",RLM19382,https://pbs.twimg.com/profile_images/3117361886/9ddcc6c0b6ffe9350f96ef0fc26df3dd_normal.jpeg
Tue Feb 16 01:14:47 +0000 2021,@JayRouseDC Trump wouldn’t be possible without their layup. We are all their marks.,Natgcoh,https://pbs.twimg.com/profile_images/972657514935398400/3cYp5nWk_normal.jpg
Tue Feb 16 01:14:47 +0000 2021,The GOP doesn’t need Trump to be who they are they haven’t changed because he came on the scene! He is just a cover a veil for the evil that has been the GOP for sometime now! So we pass the Stimulus Bill we start rebuilding our republic we don’t ask for help that’s not coming!,WadeJ2112,https://pbs.twimg.com/profile_images/1361148600168939522/Z50NfEUw_normal.jpg
Tue Feb 16 01:14:47 +0000 2021,"@MDSP hi , I'm The oldest brother of Former 20th U.S. Surgeon General Dr.Jerome Adams yr 2017 to 2021 w/ Trump Administration. MD STATE POLICE doing AWESOME JOB especially in St Mary's County where I live still https://t.co/AdUxprRyxO",Richard50674843,https://pbs.twimg.com/profile_images/1361436456129036288/C_Qt6zj0_normal.jpg
Tue Feb 16 01:14:46 +0000 2021,@BidenLs Trump wanted to give everyone 2k each month lmao,ghoulrichh,https://pbs.twimg.com/profile_images/1359347529775632385/6l9_48MT_normal.jpg
Tue Feb 16 01:14:46 +0000 2021,Trump 2021. How could we EVER have a fair election if there is not forensic auditing of every machine RIGHT NOW! https://t.co/rm4oj8IFRN,DebiLyn41710807,https://pbs.twimg.com/profile_images/1123694142146609154/uKz07_QX_normal.jpg
Tue Feb 16 01:14:46 +0000 2021,"My son pleads with you, Mr. President Joe Biden, save me and my family https://t.co/ulTYRvmNCv",Ali90400549,https://pbs.twimg.com/profile_images/1359511656334831619/4ehvzDIZ_normal.jpg
Tue Feb 16 01:14:44 +0000 2021,@newsmax I hope Donald Trump Jr runs.,ho95505822,https://pbs.twimg.com/profile_images/974079927187312641/xE_gwcNK_normal.jpg
Tue Feb 16 01:14:44 +0000 2021,@mikey97931999 @shermanwcubit @TheLeoTerrell What does China have to do with Biden?,_joshhead_,https://pbs.twimg.com/profile_images/1226775969735696384/mkf_RnMi_normal.jpg
Tue Feb 16 01:14:44 +0000 2021,@DanScavino @mtgreenee Biden IS STILL your PRESIDENT.,ill_yeah,https://pbs.twimg.com/profile_images/1332715437965119490/NYAukLfO_normal.jpg
Tue Feb 16 01:14:43 +0000 2021,@TerryGlavin Ask him about Trump if you want a position on something.,cribbingarmydav,https://pbs.twimg.com/profile_images/1334155076504481794/YE4BuQZg_normal.jpg
Tue Feb 16 01:14:43 +0000 2021,@DanPriceSeattle I hope Biden will speak with you.,tweeptwerp,https://pbs.twimg.com/profile_images/1245595861003825155/gkskuAQw_normal.jpg
Tue Feb 16 01:14:43 +0000 2021,@catturd2 Democrats are still mad because Trump left them with a defunct American corporation that Trump dissolved. They have no authority over the United States. Just an empty shell corporation. Lmao!!,JOHNJAC16241778,https://pbs.twimg.com/profile_images/1185257424606973953/vBwTufNV_normal.jpg
Tue Feb 16 01:14:43 +0000 2021,@seanhannity Funny how they said Trump didn’t accept his loss on Election.  Looks like the Dems are not accepting their loss on Impeachment.  Karma.,ctrunnals,https://pbs.twimg.com/profile_images/1309381586849353728/VaU6ydNc_normal.jpg
Tue Feb 16 01:14:43 +0000 2021,"@chipfranklin He does not sleep, he sucks Trump's D all night.",washnews_live,https://pbs.twimg.com/profile_images/812802486935359488/JgxrdZTR_normal.jpg
Tue Feb 16 01:14:43 +0000 2021,Trump Surprises Supporters at President’s Day Celebration https://t.co/iRTPBo2Ow2,MarthaD67964123,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
Tue Feb 16 01:14:43 +0000 2021,It was as clear as day. https://t.co/SR5gw6b3jY,theredpilled,https://pbs.twimg.com/profile_images/1349099517363163136/Elwgb1TX_normal.jpg
Tue Feb 16 01:14:43 +0000 2021,"Texas Interior Secretary #CancelJimJordan B Simone Jalen Johnson #DonaldJTrump trump hillary clinton barney biden #AEWWomensTournament Michael B Jordan Lori Harvey #ItsTypicallyMyFault spaghetti gatekeeping Excalibur john wall king arthur lunar year
https://t.co/4tWgfQ5mdf",AmorSupercorp,https://pbs.twimg.com/profile_images/1349099722984873990/i4f6ULqB_normal.jpg
